7_s2_episodenumber 7_s2_ratiocorrect 7_s2_nrofsubjects 7_s2_fitteddata 7_s2_param1 7_s2_param2 7_s2_minimaldist 7_s2_thresholddelay 7_s2_graphid
1 0.5833333333333334 12.0 0.48800425326910873 0.4966795212738791 -0.008675268004770382 3/3 0.0 1
2 0.46153846153846156 13.0 0.4793289852643383 0.4966795212738791 -0.008675268004770382 3/3 0.0 1
3 0.6 10.0 0.47065371725956795 0.4966795212738791 -0.008675268004770382 3/3 0.0 1
4 0.5454545454545454 11.0 0.4619784492547976 0.4966795212738791 -0.008675268004770382 3/3 0.0 1
5 0.5 10.0 0.45330318125002717 0.4966795212738791 -0.008675268004770382 3/3 0.0 1
6 0.2 10.0 0.4446279132452568 0.4966795212738791 -0.008675268004770382 3/3 0.0 1
7 0.3 10.0 0.43595264524048644 0.4966795212738791 -0.008675268004770382 3/3 0.0 1
8 0.2727272727272727 11.0 0.427277377235716 0.4966795212738791 -0.008675268004770382 3/3 0.0 1
9 0.2 10.0 0.41860210923094565 0.4966795212738791 -0.008675268004770382 3/3 0.0 1
10 0.5 10.0 0.4099268412261753 0.4966795212738791 -0.008675268004770382 3/3 0.0 1
11 0.5 10.0 0.4012515732214049 0.4966795212738791 -0.008675268004770382 3/3 0.0 1
12 0.5 10.0 0.3925763052166345 0.4966795212738791 -0.008675268004770382 3/3 0.0 1
13 0.6 10.0 0.38390103721186414 0.4966795212738791 -0.008675268004770382 3/3 0.0 1
14 0.4 10.0 0.3752257692070938 0.4966795212738791 -0.008675268004770382 3/3 0.0 1
15 0.2 10.0 0.36655050120232335 0.4966795212738791 -0.008675268004770382 3/3 0.0 1
16 0.45454545454545453 11.0 0.357875233197553 0.4966795212738791 -0.008675268004770382 3/3 0.0 1
17 0.3 10.0 0.3491999651927826 0.4966795212738791 -0.008675268004770382 3/3 0.0 1
18 0.25 8.0 0.3405246971880122 0.4966795212738791 -0.008675268004770382 3/3 0.0 1
19 0.2222222222222222 9.0 0.33184942918324184 0.4966795212738791 -0.008675268004770382 3/3 0.0 1
20 0.6666666666666666 6.0 0.3231741611784715 0.4966795212738791 -0.008675268004770382 3/3 0.0 1
21 0.0 4.0 0.3144988931737011 0.4966795212738791 -0.008675268004770382 3/3 0.0 1
22 0.5 4.0 0.3058236251689307 0.4966795212738791 -0.008675268004770382 3/3 0.0 1
23 0.3333333333333333 3.0 0.2971483571641603 0.4966795212738791 -0.008675268004770382 3/3 0.0 1
24 0.25 4.0 0.28847308915938996 0.4966795212738791 -0.008675268004770382 3/3 0.0 1
